region	sector	indout
AT	Cultivation of paddy rice	0
AT	Cultivation of wheat	394.917600584
AT	Cultivation of cereal grains nec	944.283221654
AT	Cultivation of vegetables, fruit, nuts	1635.67713034
AT	Cultivation of oil seeds	170.804582266
AT	Cultivation of sugar cane, sugar beet	106.803721938
AT	Cultivation of plant-based fibers	1.69703926864
AT	Cultivation of crops nec	377.802465247
AT	Cattle farming	561.995024726
AT	Pigs farming	814.33070956
AT	Poultry farming	507.664332132
AT	Meat animals nec	81.127846175
AT	Animal products nec	57.6601459925
AT	Raw milk	1143.41278626
AT	Wool, silk-worm cocoons	0.245121529179
AT	Manure treatment (conventional), storage and land application	0
AT	Manure treatment (biogas), storage and land application	0
AT	Forestry, logging and related service activities (02)	3412.11085596
AT	Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)	39.9049064658
AT	Mining of coal and lignite; extraction of peat (10)	6.21398490671
AT	Extraction of crude petroleum and services related to crude oil extraction, excluding surveying	444.835436721
AT	Extraction of natural gas and services related to natural gas extraction, excluding surveying	751.706647653
AT	Extraction, liquefaction, and regasification of other petroleum and gaseous materials	3.70456494286
AT	Mining of uranium and thorium ores (12)	0
AT	Mining of iron ores	137.776170332
AT	Mining of copper ores and concentrates	0
AT	Mining of nickel ores and concentrates	0
AT	Mining of aluminium ores and concentrates	0
AT	Mining of precious metal ores and concentrates	0
AT	Mining of lead, zinc and tin ores and concentrates	0
AT	Mining of other non-ferrous metal ores and concentrates	583.9167208
AT	Quarrying of stone	470.100964336
AT	Quarrying of sand and clay	1446.93832065
AT	Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.	196.165035361
AT	Processing of meat cattle	979.257727907
AT	Processing of meat pigs	1575.17641841
AT	Processing of meat poultry	432.109007049
AT	Production of meat products nec	2945.37239496
AT	Processing vegetable oils and fats	608.173052657
AT	Processing of dairy products	3932.70016595
AT	Processed rice	4.34380565145
AT	Sugar refining	285.12191588
AT	Processing of Food products nec	10853.9918051
AT	Manufacture of beverages	6056.6232349
AT	Manufacture of fish products	41.9852272595
AT	Manufacture of tobacco products (16)	298.751191693
AT	Manufacture of textiles (17)	3257.28571501
AT	Manufacture of wearing apparel; dressing and dyeing of fur (18)	1123.27789047
AT	Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)	1104.64717908
AT	Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)	8627.36924214
AT	Re-processing of secondary wood material into new wood material	4666.64111534
AT	Pulp	1052.13576118
AT	Re-processing of secondary paper into new pulp	2885.92763177
AT	Paper	3515.49760892
AT	Publishing, printing and reproduction of recorded media (22)	8711.72982239
AT	Manufacture of coke oven products	101.358239293
AT	Petroleum Refinery	5566.21584917
AT	Processing of nuclear fuel	1.18242413848
AT	Plastics, basic	4983.28969103
AT	Re-processing of secondary plastic into new plastic	2453.2178242
AT	N-fertiliser	87.5761997432
AT	P- and other fertiliser	80.9264349681
AT	Chemicals nec	1987.18170497
AT	Manufacture of rubber and plastic products (25)	9152.84040752
AT	Manufacture of glass and glass products	154.406724523
AT	Re-processing of secondary glass into new glass	138.200865242
AT	Manufacture of ceramic goods	469.628308005
AT	Manufacture of bricks, tiles and construction products, in baked clay	424.522026574
AT	Manufacture of cement, lime and plaster	5320.6607518
AT	Re-processing of ash into clinker	1514.32146299
AT	Manufacture of other non-metallic mineral products n.e.c.	1372.19623529
AT	Manufacture of basic iron and steel and of ferro-alloys and first products thereof	3841.07099785
AT	Re-processing of secondary steel into new steel	567.560377143
AT	Precious metals production	343.368954717
AT	Re-processing of secondary preciuos metals into new preciuos metals	0
AT	Aluminium production	640.685029217
AT	Re-processing of secondary aluminium into new aluminium	4840.75825364
AT	Lead, zinc and tin production	161.122204937
AT	Re-processing of secondary lead into new lead, zinc and tin	148.350815734
AT	Copper production	1004.26571847
AT	Re-processing of secondary copper into new copper	2482.62452071
AT	Other non-ferrous metal production	2255.88469527
AT	Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	0
AT	Casting of metals	2604.56803572
AT	Manufacture of fabricated metal products, except machinery and equipment (28)	19961.1472023
AT	Manufacture of machinery and equipment n.e.c. (29)	36083.0203132
AT	Manufacture of office machinery and computers (30)	315.84213165
AT	Manufacture of electrical machinery and apparatus n.e.c. (31)	14071.2498007
AT	Manufacture of radio, television and communication equipment and apparatus (32)	6154.39411319
AT	Manufacture of medical, precision and optical instruments, watches and clocks (33)	5265.34114715
AT	Manufacture of motor vehicles, trailers and semi-trailers (34)	24297.3621873
AT	Manufacture of other transport equipment (35)	4892.8996958
AT	Manufacture of furniture; manufacturing n.e.c. (36)	8933.94997294
AT	Recycling of waste and scrap	1197.08288716
AT	Recycling of bottles by direct reuse	110.820783335
AT	Production of electricity by coal	904.095551204
AT	Production of electricity by gas	2053.31220972
AT	Production of electricity by nuclear	0
AT	Production of electricity by hydro	4290.35742531
AT	Production of electricity by wind	230.994264479
AT	Production of electricity by petroleum and other oil derivatives	235.079680923
AT	Production of electricity by biomass and waste	861.969342325
AT	Production of electricity by solar photovoltaic	2.01603488994
AT	Production of electricity by solar thermal	0
AT	Production of electricity by tide, wave, ocean	0
AT	Production of electricity by Geothermal	1.06656149593
AT	Production of electricity nec	191.981945196
AT	Transmission of electricity	5149.36548406
AT	Distribution and trade of electricity	13144.5064611
AT	Manufacture of gas; distribution of gaseous fuels through mains	9008.91336875
AT	Steam and hot water supply	1224.18383309
AT	Collection, purification and distribution of water (41)	1045.19883565
AT	Construction (45)	72258.5581881
AT	Re-processing of secondary construction material into aggregates	80.0217049748
AT	Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries	10011.6163356
AT	Retail sale of automotive fuel	648.838776386
AT	Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)	34488.296211
AT	Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)	13295.9848228
AT	Hotels and restaurants (55)	37014.4073782
AT	Transport via railways	6092.94230316
AT	Other land transport	20195.1967155
AT	Transport via pipelines	982.93234103
AT	Sea and coastal water transport	27.3893545396
AT	Inland water transport	140.156672934
AT	Air transport (62)	6586.62262586
AT	Supporting and auxiliary transport activities; activities of travel agencies (63)	22678.0511231
AT	Post and telecommunications (64)	20190.4812228
AT	Financial intermediation, except insurance and pension funding (65)	21785.9250251
AT	Insurance and pension funding, except compulsory social security (66)	8200.2443146
AT	Activities auxiliary to financial intermediation (67)	4841.80523671
AT	Real estate activities (70)	47844.7984772
AT	Renting of machinery and equipment without operator and of personal and household goods (71)	9291.95874735
AT	Computer and related activities (72)	13260.641677
AT	Research and development (73)	2942.19210529
AT	Other business activities (74)	50375.7228007
AT	Public administration and defence; compulsory social security (75)	31101.2370475
AT	Education (80)	23513.5952902
AT	Health and social work (85)	33327.1449753
AT	Incineration of waste: Food	310.035502712
AT	Incineration of waste: Paper	410.022655206
AT	Incineration of waste: Plastic	726.831233182
AT	Incineration of waste: Metals and Inert materials	2178.59015646
AT	Incineration of waste: Textiles	61.2740130069
AT	Incineration of waste: Wood	140.677943071
AT	Incineration of waste: Oil/Hazardous waste	451.264874759
AT	Biogasification of food waste, incl. land application	50.6251184401
AT	Biogasification of paper, incl. land application	5.95790195668
AT	Biogasification of sewage slugde, incl. land application	35.9646000002
AT	Composting of food waste, incl. land application	1796.91464127
AT	Composting of paper and wood, incl. land application	0.408697809584
AT	Waste water treatment, food	157.219966511
AT	Waste water treatment, other	300.433922144
AT	Landfill of waste: Food	40.5666851437
AT	Landfill of waste: Paper	65.0185575032
AT	Landfill of waste: Plastic	13.6015986858
AT	Landfill of waste: Inert/metal/hazardous	149.771377087
AT	Landfill of waste: Textiles	7.18731716616
AT	Landfill of waste: Wood	29.2062920415
AT	Activities of membership organisation n.e.c. (91)	9595.82466775
AT	Recreational, cultural and sporting activities (92)	11906.8128209
AT	Other service activities (93)	4340.88478457
AT	Private households with employed persons (95)	115.404317544
AT	Extra-territorial organizations and bodies	0
BE	Cultivation of paddy rice	0
BE	Cultivation of wheat	429.379047325
BE	Cultivation of cereal grains nec	313.477452762
BE	Cultivation of vegetables, fruit, nuts	2443.28648901
BE	Cultivation of oil seeds	25.9880996072
BE	Cultivation of sugar cane, sugar beet	268.457961867
BE	Cultivation of plant-based fibers	12.1092161002
BE	Cultivation of crops nec	1482.27500828
BE	Cattle farming	1008.84252395
BE	Pigs farming	1469.40705012
BE	Poultry farming	1317.80465196
BE	Meat animals nec	330.766425755
BE	Animal products nec	28.2946160146
BE	Raw milk	1249.94082309
